waktu mulai => 2021 05 07 11:45:26
no => 230; cust id => 0004123840; subnet => S-001; jam => 2021 05 07 12:10:25
no => 231; cust id => 0000588020; subnet => S-001; jam => 2021 05 07 12:10:34
no => 232; cust id => 0000791921; subnet => S-001; jam => 2021 05 07 12:10:42
no => 233; cust id => 0042266890; subnet => S-008; jam => 2021 05 07 12:10:48
no => 234; cust id => 0002616449; subnet => S-008; jam => 2021 05 07 12:10:54
no => 235; cust id => 0029468527; subnet => S-001; jam => 2021 05 07 12:10:59
no => 236; cust id => 0029243888; subnet => S-001; jam => 2021 05 07 12:11:04
no => 237; cust id => 0003172624; subnet => S-001; jam => 2021 05 07 12:11:09
no => 238; cust id => 0009236241; subnet => S-001; jam => 2021 05 07 12:11:15
no => 239; cust id => 0023928146; subnet => S-001; jam => 2021 05 07 12:11:22
no => 240; cust id => 0021555289; subnet => S-001; jam => 2021 05 07 12:11:32
no => 241; cust id => 0042110718; subnet => S-001; jam => 2021 05 07 12:11:39
no => 242; cust id => 0011926367; subnet => S-001; jam => 2021 05 07 12:11:43
no => 243; cust id => 0001059021; subnet => S-001; jam => 2021 05 07 12:11:48
no => 244; cust id => 0001588052; subnet => S-003; jam => 2021 05 07 12:11:53
no => 245; cust id => 0002435006; subnet => S-009; jam => 2021 05 07 12:11:59
no => 246; cust id => 0000599423; subnet => S-001; jam => 2021 05 07 12:12:06
no => 247; cust id => 0028807378; subnet => S-001; jam => 2021 05 07 12:12:15
no => 248; cust id => 0030180111; subnet => S-001; jam => 2021 05 07 12:12:22
no => 249; cust id => 0053784757; subnet => S-017; jam => 2021 05 07 12:12:29
no => 250; cust id => 0053078796; subnet => S-001; jam => 2021 05 07 12:12:32
no => 251; cust id => 0048038749; subnet => S-001; jam => 2021 05 07 12:12:37
no => 252; cust id => 0030379101; subnet => S-001; jam => 2021 05 07 12:12:44
no => 253; cust id => 0035896794; subnet => S-001; jam => 2021 05 07 12:12:54
no => 254; cust id => 0035896927; subnet => S-001; jam => 2021 05 07 12:13:02
no => 255; cust id => 0050580737; subnet => S-001; jam => 2021 05 07 12:13:09
no => 256; cust id => 0003001021; subnet => S-001; jam => 2021 05 07 12:13:12
no => 257; cust id => 0008818262; subnet => S-001; jam => 2021 05 07 12:13:14
no => 258; cust id => 0001411255; subnet => S-003; jam => 2021 05 07 12:13:17
no => 259; cust id => 0002660900; subnet => S-009; jam => 2021 05 07 12:13:20
no => 260; cust id => 0010528206; subnet => S-001; jam => 2021 05 07 12:13:26
no => 261; cust id => 0029537206; subnet => S-016; jam => 2021 05 07 12:13:34
no => 262; cust id => 0018818237; subnet => S-001; jam => 2021 05 07 12:13:37
no => 263; cust id => 0045794716; subnet => S-001; jam => 2021 05 07 12:13:40
no => 264; cust id => 0045792843; subnet => S-001; jam => 2021 05 07 12:13:43
no => 265; cust id => 0030189559; subnet => S-001; jam => 2021 05 07 12:13:45
no => 266; cust id => 0003479425; subnet => S-001; jam => 2021 05 07 12:13:48
no => 267; cust id => 0000507723; subnet => S-001; jam => 2021 05 07 12:13:54
no => 268; cust id => 0032086753; subnet => S-005; jam => 2021 05 07 12:14:02
no => 269; cust id => 0021185657; subnet => S-001; jam => 2021 05 07 12:14:05
no => 270; cust id => 0000194225; subnet => S-001; jam => 2021 05 07 12:14:12
